Date,WB Proj,P M&G,Job,Wakeup,Joints,Cigs,Beers,Miles
7.8.20,0,1,4,9.75,6,6,9,
7.7.20,0,4.75,0.25,11.25,1,1,0,
7.6.20,0,0,6.5,10.25,1,1,4,
7.5.20,0,0,0,11.5,1,1,3,
7.4.20,0,0.25,2,11.5,5,5,8,
7.3.20,0,2.25,4,8,0,0,0,
7.2.20,2,1.25,4.5,7,0,0,0,
7.1.20,0,0,0,14,0,0,0,
6.30.20,1,1.5,0.25,12.5,5.5,5.5,9,
6.29.20,0,1.25,3,10,4,4,3,
6.28.20,0,1.25,2.75,11,3,3,0,
6.27.20,0,0,2.5,,4,4,5.5,
6.26.20,0,2.25,0,,0,0,0,
6.25.20,0,0,1.5,,1,1,0,
6.24.20,0,1,4.25,,5,5,0,
6.23.20,0,0.75,3.25,,3,3,2,
6.22.20,0,0,3,,3,3,0,
6.21.20,0,1,1.75,,4,7,9,
6.20.20,0,2.5,0,,0,1,0,
6.19.20,0.25,0.5,2,,2,3,5,
6.18.20,0,2.5,3.5,,2,2,,
6.17.20,0,0,4.75,,3,3,,
6.16.20,0,0.75,1.5,,2,2,,
6.15.20,0,3.25,0,,1,1,,
6.14.20,4.75,1.25,0,,4,4,,
6.13.20,0,0,0,,1,1,,
6.12.20,3,0,0,,5,5,,
6.11.20,2.5,0,0,,1,1,,
6.10.20,0,6,0,,3,3,,
6.9.20,0,4.5,0.75,,3,3,,
6.8.20,0,1.5,4.25,,1,1,,
6.7.20,0,1.25,3.75,,0,0,,
6.6.20,,4.75,5,,0,,,
6.5.20,,3.5,0,,3,,,
6.4.20,,5.5,0,,4,,,
6.3.20,,0,1.75,,3,,,
6.2.20,,1,5,,4,,,
6.1.20,,2.5,1.5,,3,,,
5.31.20,,1.75,1,,3,,,
5.30.20,,0,3,,2,,,
5.29.20,,2,0,,3,,,
5.28.20,,1.75,2.25,,2,,,
5.27.20,,1.5,0,,1,,,
5.26.20,,3,2.75,,1,,,
5.25.20,,2.5,0,,2,,,
5.24.20,,0.75,2.25,,2,,,
